Song,Artist(s),Lyrics
Wannabe,Spice Girls,yo tell want really really want tell want really really want tell want really really want tell want really really want wanna ha wanna ha wanna ha wanna ha wanna really really really wanna zigazig ah want future forget past wanna get better make fast go wasting precious time get act together could fine tell want really really want tell want really really want wanna ha wanna ha wanna ha wanna ha wanna really really really wanna zigazig ah wanna lover gotta get friend gotta get friend make last forever friendship never end wanna lover got give taking easy way think know feel say handle love real real hasty give try really bug say goodbye yo tell want really really want tell want really really want wanna ha wanna ha wanna ha wanna ha wanna really really really wanna zigazig ah wanna lover gotta get friend gotta get friend make last forever friendship never end wanna lover got give got give taking easy way story z wanna get gotta listen carefully got em place like face got g like mc like easy v come free real lady ha see slam body wind around slam body wind around wanna lover gotta get friend gotta get friend make last forever friendship never end wanna lover got give got give taking easy way wanna lover gotta gotta gotta gotta gotta slam slam slam slam make last forever slam body wind around slam body wind around ha ha ha ha ha slam body wind around slam body zigazig ah wanna lover
Superstition,Stevie Wonde,superstitious writing wall superstitious ladder bout fall thirteen month old baby broke lookin glass seven year bad luck good thing past believe thing understand suffer superstition aint way hey superstitious wash face hand rid problem keep daydream keep goin strong wanna save sad soul believe thing understand suffer superstition way yeh yeh superstitious nothin say superstitious devil way thirteen month old baby broke lookin glass seven year bad luck good thing past believe thing understand suffer superstition way
Can't Get You Out of My Head,Kylie Minogue,get head boy lovin think get head boy dare think get head boy lovin think get head boy dare think every night every day arm stay lay stay forever ever ever ever get head boy lovin think get head boy dare think dark secret leave left heart set free feel need set free stay forever ever ever ever get head get head get head
Karma Chameleon ,Culture Club,desert loving eye way listen lie would say man man without conviction man man know sell sell contradiction come go come go karma karma karma karma karma chameleon come go come go loving would easy color like dream red gold green red gold green hear wicked word every day used sweet heard say love love addiction cling cling love strong go go gone forever string along string along karma karma karma karma karma chameleon come go come go loving would easy color like dream red gold green red gold green every day like survival survival lover lover rival every day like survival survival lover lover rival man man without conviction man man know sell sell contradiction come go come go karma karma karma karma karma chameleon come go come go loving would easy color like dream red gold green red gold green karma karma karma karma karma chameleon come go come go loving would easy color like dream red gold green red gold green karma karma karma karma karma chameleon come go come go loving would easy color like dream red gold green red gold green karma karma karma karma karma chameleon
Angels,Robbie Williams,sit wait angel contemplate fate know place go grey old cause told salvation let wing unfold lying bed thought running head feel love dead loving angel instead offer protection lot love affection whether right wrong waterfall wherever may take know life break come call forsake loving angel instead feeling weak pain walk one way street look know always blessed love feeling grows breathes flesh bone love dead loving angel instead offer protection lot love affection whether right wrong waterfall wherever may take know life break come call forsake loving angel instead offer protection lot love affection whether right wrong waterfall wherever may take know life break come call forsake loving angel instead
Rhiannon,Fleetwood Mac,rhiannon ring like bell night love love take sky like bird flight lover life never seen woman taken wind would stay promised heaven ever win like cat dark darkness rule life like fine skylark sky starless life never seen woman taken wind would stay promised heaven ever win ever win rhiannon rhiannon rhiannon rhiannon ring like bell night love love rule life like bird flight lover life never seen woman taken wind would stay promised heaven ever win ever win rhiannon rhiannon rhiannon taken taken sky ah ah taken taken sky ah ah taken taken sky ah ah dream unwind love state mind dream unwind love state mind
Enter Sandman,Metallica,say prayer little one forget son include everyone tuck warm within keep free sin til sandman come sleep one eye open gripping pillow tight exit light enter night take hand never never land somethings wrong shut light heavy thought tonight snow white dream war dream liar dream dragon fire thing bite sleep one eye open gripping pillow tight exit light enter night take hand never never land lay sleep lay sleep pray lord soul keep pray lord soul keep die wake die wake pray lord soul take pray lord soul take hush little baby say word never mind noise heard beast bed closet head exit light enter night grain sand exit light enter night take hand never never land uh yo never never land take hand never never land take hand never never land
Don't Be Cruel,Elvis Presley,know found sittin home alone come around least please telephone cruel heart true baby made mad somethin might said please let forget past future look bright ahead cruel got heart true want love honey thinkin let walk preacher let u say gonna baby got little bitty love cruel want love honey thinkin hey stop thinkin make feel way come love know want say cruel heart true well want love honey thinkin cruel heart true cruel heart true apart really love baby cross heart
Need You Tonight,INXS,come got moment twenty first century yesterday care want everybody okay slide give moment move raw got let know got let know one kind need tonight cause sleepin somethin girl make sweat feel lonely think think gonna gonna live life slide give moment move raw got let know got let know one kind need tonight cause sleepin somethin girl make sweat feel lonely think think gonna gonna live life feel lonely think think gonna gonna live life slide give moment move raw got let know got let know slide give moment got let know got let know one kind
Space Oddity, Chris Hadfield,ground control major tom ground control major tom lock soyuz hatch put helmet ground control major tom commencing countdown engine detach station may god love ground control major tom really made grade paper want know whose shirt wear time guide capsule dare major tom ground control left forevermore floating peculiar way star look different today sitting tin far world planet earth blue nothing left though flown one hundred thousand mile feeling still long know time go commander come back earth know ground control major tom time near long hear major tom hear major tom hear major tom floating tin last glimpse world planet earth blue nothing left
Last Goodbye,Jeff Buckley,last goodbye hate feel love u die hear go gave live ever know last embrace must dream always see face overcome wall baby maybe know kiss please kiss kiss desire babe consolation know make angry cause know time make cry last goodbye say happen rush phone call voice unkind back mind saying maybe know know ya know ooo know well bell church tower chime burning clue heart mine thinking hard soft eye memory offer sign
Girls Just Want To Have Fun,"Cyndi Lauper
",come home mornin light mother say gonna live life right momma dear fortunate one girl wanna fun girl wanna fun phone ring middle night father yell gonna life daddy dear know still number one girl wanna fun girl wanna really want fun workin day done girl wanna fun girl wanna fun girl want wanna fun girl wanna boy take beautiful girl hide away rest world wanna one walk sun girl wanna fun girl wanna really want fun workin day done girl wanna fun girl wanna fun girl want wanna fun girl wanna want wanna girl want wanna girl wanna fun girl girl wanna fun want wanna wanna wanna girl want wanna girl wanna fun girl girl wanna fun workin workin day done workin day done girl girl wanna fun everybody huh huh want wanna girl want wanna girl wanna fun girl girl wanna fun wanna wanna workin working day done want wanna working day done girl girl wanna fun girl girl wanna fun
Another Brick in the Wall,Pink Floyd,need education need thought control dark sarcasm classroom teacher leave kid alone hey teacher leave kid alone another brick wall another brick wall need education need thought control dark sarcasm classroom teacher leave kid alone hey teacher leave u kid alone another brick wall another brick wall eat yer meat pudding pudding eat yer meat yes behind bike stand stand still laddy
American Pie,Don McLean,long long time ago still remember music used make smile knew chance could make people dance maybe happy february made shiver every paper deliver bad news doorstep take one step remember cried read widowed bride something touched deep inside day music died bye bye miss american pie drove chevy levee levee dry good old boy drinking whiskey rye singing day die day die write book love faith god bible tell believe rock n roll music save mortal soul teach dance real slow well know love cause saw dancing gym kicked shoe dig rhythm blue lonely teenage broncin buck pink carnation pickup truck knew luck day music died started singing bye bye miss american pie drove chevy levee levee dry good old boy drinking whiskey rye singing day die day die ten year moss grows fat rolling stone used jester sang king queen coat borrowed james dean voice came king looking jester stole thorny crown courtroom adjourned verdict returned lenin read book marx quartet practiced park sang dirge dark day music died singing bye bye miss american pie drove chevy levee levee dry good old boy drinking whiskey rye singing day die day die helter skelter summer swelter bird flew fallout shelter eight mile high falling fast landed foul grass player tried forward pas jester sideline cast halftime air sweet perfume sergeant played marching tune got dance never got chance cause player tried take field marching band refused yield recall revealed day music died started singing bye bye miss american pie drove chevy levee levee dry good old boy drinking whiskey rye singing day die day die one place generation lost space time left start come jack nimble jack quick jack flash sat candlestick cause fire devil friend watched stage hand clenched fist rage angel born hell could break satan spell flame climbed high night light sacrificial rite saw satan laughing delight day music died singing bye bye miss american pie drove chevy levee levee dry good old boy drinking whiskey rye singing day die day die met girl sang blue asked happy news smiled turned away went sacred store heard music year man said music play street child screamed lover cried poet dreamed word spoken church bell broken three men admire father son holy ghost caught last train coast day music died singing bye bye miss american pie drove chevy levee levee dry good old boy drinking whiskey rye singing day die day die singing bye bye miss american pie drove chevy levee levee dry good old boy drinking whiskey rye singing day die
Nothing Compares 2 U,"Sinéad O'Connor
",seven hour day since took love away go every night sleep day since took love away since gone whatever want see whomever choose eat dinner fancy restaurant nothing said nothing take away blue cause nothing compare nothing compare lonely without like bird without song nothing stop lonely tear falling tell baby go wrong could put arm around every boy see remind went doctor guess told guess told said girl better try fun matter fool cause nothing compare nothing compare flower planted mama back yard died went away know living baby sometimes hard willing give another try nothing compare nothing compare nothing compare nothing compare nothing compare nothing compare
You're So Vain,Carly Simon,son gun walked party like walking onto yacht hat strategically dipped one eye scarf apricot one eye mirror watched gavotte girl dreamed partner partner vain probably think song vain vain bet think song several year ago still quite naive well said made pretty pair would never leave gave away thing loved one dream cloud coffee cloud coffee vain probably think song vain vain bet think song dream cloud coffee cloud coffee vain probably think song vain vain bet think song well hear went saratoga horse naturally flew lear jet nova scotia see total eclipse sun well time underworld spy wife close friend wife close friend vain probably think song vain vain bet think song vain probably think song vain probably think song vain
All Along the Watchtower,Jimi Hendrix,must kind way outta said joker thief much confusion get relief business men drink wine plowman dig earth none level line nobody offered word hey hey reason get excited thief kindly spoke many among u feel life joke uh fate let u stop talkin falsely hour getting late hey hey along watchtower prince kept view woman came went barefoot servant well uh outside cold distance wildcat growl two rider approaching wind began howl hey along watchtower along watchtower
Good Riddance,Green Day,another turning point fork stuck road time grab wrist directs go make best test ask question lesson learned time something unpredictable end right hope time life take photograph still frame mind hang shelf good health good time tattoo memory dead skin trial worth worth something unpredictable end right hope time life something unpredictable end right hope time life something unpredictable end right hope time life
Call me,Blondie,colour colour baby colour car colour colour darling know come colour chart know coming call call line call call anytime call call arrive call day night call cover kiss baby cover love roll designer sheet never get enough emotion come know cover love alibi call call line call call anytime call call arrive ready share wine call speaks language love amore chiamami chiamami appelle moi mon cheri appelle moi anytime anyplace anywhere way anytime anyplace anywhere day way call call love call call anytime call call ride call call overtime call call love call call sweet design call call call lover lover alibi
Uptown Funk,Mark Ronson,hit ice cold michelle pfeiffer white gold one hood girl good girl straight masterpiece stylin wildin livin city got chuck saint laurent gotta kiss pretty hot hot damn called police fireman hot hot damn make dragon wanna retire man hot hot damn say name know hot hot damn bad bout money break girl hit hallelujah wooh girl hit hallelujah wooh girl hit hallelujah wooh cause uptown funk gon give wooh cause uptown funk gon give cause uptown funk gon give saturday night spot believe watch come believe watch believe watch believe watch believe watch believe watch hey hey hey stop wait minute fill cup put liquor take sip sign check julio get stretch ride harlem hollywood jackson mississippi show gon show smoother fresh jar skippy hot hot damn called police fireman hot hot damn make dragon wanna retire man hot hot damn hot damn bitch say name know hot hot damn bad bout money break girl hit hallelujah wooh girl hit hallelujah wooh girl hit hallelujah wooh cause uptown funk gon give wooh cause uptown funk gon give cause uptown funk gon give saturday night spot believe watch come believe watch believe watch believe watch believe watch believe watch hey hey hey leave mma tell lil something uptown funk uptown funk uptown funk uptown funk said uptown funk uptown funk uptown funk uptown funk come dance jump sexy flaunt freaky brag come show come dance jump sexy flaunt well saturday night spot believe watch come
You Can Call Me Al,Paul Simon,man walk street say soft middle soft middle rest life hard need photo opportunity want shot redemption want end cartoon cartoon graveyard bonedigger bonedigger dog moonlight far away well lit door mr beerbelly beerbelly get mutt away know find stuff amusing anymore bodyguard long lost pal call betty betty call call al man walk street say short attention got short little span attention whoa night long wife family die role model role model gone gone ducked back alley roly poly little bat faced girl along along incident accident hint allegation bodyguard long lost pal call betty betty call call al call al man walk street street strange world maybe third world maybe first time around speak language hold currency foreign man surrounded sound sound cattle marketplace scattering orphanage look around around see angel architecture spinning infinity say amen hallelujah bodyguard long lost pal call betty betty call call al call
Piano Man ,"Billy Joel
",nine clock saturday regular crowd shuffle old man sittin next makin love tonic gin say son play memory really sure go sad sweet knew complete wore younger man clothes di di da di di da da dum sing u song piano man sing u song tonight well mood melody got u feelin alright john bar friend mine get drink free quick joke light smoke place rather say bill believe killing smile ran away face well sure could movie star could get place di di da di di da da dum paul real estate novelist never time wife talkin davy still navy probably life waitress practicing politics businessmen slowly get stoned yes sharing drink call loneliness better drinkin alone sing u song piano man sing u song tonight well mood melody got u feelin alright pretty good crowd saturday manager give smile cause know comin see forget life piano sound like carnival microphone smell like beer sit bar put bread jar say man doin di di da di di da da dum sing u song piano man sing u song tonight well mood melody got u feelin alright
Working Class Man,Jimmy Barnes,working hard make living bringing shelter rain father son left carry blue denim vein working class man well steel town disciple legend kind running like cyclone across wild mid western sky working class man belief god elvis get time vietnam still mad uncle sam simple man heart gold complicated land working class man well love little woman someday make wife saving overtime one love life worried tomorrow made mind life short burning bridge take one day time working class man working class man yes well working class man tell working class man working class working class man yes working class working class man got tell working class man working class working class man working class working class man tell working class man working class working class man yes working class working class
The Real Slim Shady,Eminem,may attention please may attention please real slim shady please stand repeat real slim shady please stand gonna problem act like never seen white person jaw floor like pam like tommy burst door started whoopin as worse first divorced throwin furniture ah return wait way kidding say think dr dre said nothing idiot dr dre dead locked basement haha feminist woman love eminem chicka chicka chicka slim shady sick look walkin around grabbin know flippin know cute though probably got couple screw head loose worse goin parent bedroom sometimes wanna get tv let loose cool tom green hump dead moose bum lip bum lip lucky might give little kiss message deliver little kid expect know woman clitoris course gonna know intercourse time hit fourth grade got discovery channel nothin mammal well u cannibal cut people open like cantaloupe hump dead animal antelope reason man another man elope feel like feel got antidote woman wave pantyhose sing chorus go slim shady yes real shady slim shadys imitating real slim shady please stand please stand please stand cause slim shady yes real shady slim shadys imitating real slim shady please stand please stand please stand smith gotta cuss rap sell record well fuck fuck think give damn grammy half critic even stomach let alone stand slim win weird guy lie get sit next britney spear shit christina aguilera better switch chair sit next carson daly fred durst hear em argue gave head first little bitch put blast mtv cute think married kim hehe download audio mp show whole world gave eminem vd ahh sick little girl boy group annoy sent destroy million u like cuss like give fuck like dress like walk talk act like might next best thing quite cause slim shady yes real shady slim shadys imitating real slim shady please stand please stand please stand cause slim shady yes real shady slim shadys imitating real slim shady please stand please stand please stand like head trip listen cause givin thing joke friend inside livin room difference got ball say front gotta false sugar coat get mic spit whether like admit shit better ninety percent rapper wonder kid eat album like valium funny cause rate goin thirty person nursin home flirting pinchin nurse ass jackin jergens jerkin whole bag viagra workin every single person slim shady lurkin could workin burger king spittin onion ring parkin lot circling screamin give fuck window system real shady please stand put one finger hand proud outta mind outta control one time loud go slim shady yes real shady slim shadys imitating real slim shady please stand please stand please stand cause slim shady yes real shady slim shadys imitating real slim shady please stand please stand please stand cause slim shady yes real shady slim shadys imitating real slim shady please stand please stand please stand cause slim shady yes real shady slim shadys imitating real slim shady please stand please stand please stand haha guess slim shady u fuck let stand
Love Will Tear Us Apart,"Joy Division
",routine bite hard ambition low resentment ride high emotion grow changing way taking different road love love tear u apart love love tear u apart bedroom cold turned away side timing flawed respect run dry yet still appeal kept life love love tear u apart love love tear u apart cry sleep failing exposed taste mouth desperation take hold something good function love love tear u apart love love tear u apart love love tear u apart love love tear u apart
Truly Madly Deeply,Savage Garden,dream wish fantasy hope love everything need love every breath truly madly deeply strong faithful cause counting new beginnin reason livin deeper meaning wanna stand mountain wanna bathe sea wanna lay like forever sky fall star shining brightly velvet sky make wish send heaven make want cry tear joy pleasure certainty surrounded comfort protection highest power lonely hour tear devour wanna stand mountain wanna bathe sea wanna lay like forever sky fall see baby close eye standin right need surely come dream wish fantasy hope love everything need love every breath truly madly deeply wanna stand mountain wanna bathe sea wanna lay like forever sky fall wanna stand mountain wanna bathe sea want live like forever sky fall
In the Air Tonight,Phil Collins,feel coming air tonight lord waiting moment life lord feel coming air tonight lord lord well told drowning would lend hand seen face friend know know well saw saw two eye wipe grin know pack lie feel coming air tonight lord well waiting moment life lord feel coming air tonight lord well waiting moment life lord lord well remember remember worry could ever forget first time last time ever met know reason keep silence fool hurt show pain still grows stranger feel coming air tonight lord well waiting moment life lord feel air tonight lord lord well waiting moment life lord feel coming air tonight lord waiting moment life lord feel air tonight lord lord well waiting moment life lord lord feel air tonight lord lord well waiting moment life lord lord
Oops!…I Did It Again,Britney Spears,think made believe friend baby might seem like crush mean serious cause lose sens typically baby baby oops played heart got lost game baby baby oops think love sent innocent see problem dreaming away wishing hero truly exist cry watching day see fool many way lose sens typically baby oops played heart got lost game baby baby oops think love sent innocent aboard britney go something want beautiful wait minute yes thought old lady dropped ocean end well baby went got aww oops heart got lost game baby oops think sent innocent oops played heart got lost game baby baby oops think love sent innocent oops played heart got lost game baby baby oops think love sent innocent
My Sharona,The Knack,little pretty one pretty one gonna give time sharona make motor run motor run gun comin line sharona never gonna stop give dirty mind always get touch younger kind yi woo sharona come little closer huh ah ya huh close enough look eye sharona keeping mystery get running length thigh sharona never gonna stop give dirty mind always get touch younger kind yi woo sharona gonna give give matter time sharona destiny destiny game mind sharona never gonna stop give dirty mind always get touch younger kind yi woo sharona sharona sharona sharona ohhhhh sharona ohhhhh sharona ohhhhh sharona
Tiny Dancer,Elton John,blue jean baby l lady seamstress band pretty eyed pirate smile marry music man ballerina must seen dancing sand always tiny dancer hand jesus freak street handing ticket god turning back laugh boulevard bad piano man make stand auditorium looking sings song word know tune hum feel real lying one near hear say softly slowly hold closer tiny dancer count headlight highway lay sheet linen busy day today hold closer tiny dancer count headlight highway lay sheet linen busy day today blue jean baby l lady seamstress band pretty eyed pirate smile marry music man ballerina must seen dancing sand always tiny dancer hand feel real lying one near hear say softly slowly hold closer tiny dancer count headlight highway lay sheet linen busy day today hold closer tiny dancer count headlight highway lay sheet linen busy day today
Born in the U.S.A.,Bruce Springsteen ,born dead man town first kick took hit ground end like dog beat much til spend half life cover born u born u born u born u got little hometown jam put rifle hand sent foreign land go kill yellow man born u born u born u born u come back home refinery hiring man say son go see v man said son understand brother khe sahn fighting viet cong still gone little girl saigon got picture arm shadow penitentiary gas fire refinery ten year burning road got nowhere run nowhere go born u born u born u long time daddy u born u cool rocking daddy u born u born u born u born u long gone daddy u born u
My Happiness,Powderfinger,see shadow street hear push rusty gate click heel concrete waiting knock coming way late seems age since seen countdown week trickle day come put bag know something air right need happiness slowly creeping back home ever start sinking must pack go seems age since seen countdown week trickle day hope time changed really want stay come put bag know something air right need happiness slowly creeping back home ever start sinking must pack go know know know inside know know know inside know know know inside know know know inside need happiness slowly creeping back home ever start sinking must pack go happiness slowly creeping back home ever start sinking must pack go
Hey Jude,Paul McCartney,hey jude make bad take sad song make better remember let heart start make better hey jude afraid made go get minute let skin begin make better anytime feel pain hey jude refrain carry world upon shoulder well know fool play cool making world little colder hey jude let found go get remember let heart start make better let let hey jude begin waiting someone perform know hey jude movement need shoulder hey jude make bad take sad song make better remember let skin begin make better better better better better better na na na nananana nannana hey jude
Alive,Pearl Jam,son said got little story thought daddy nothin sittin home alone age thirteen real daddy dyin sorry see glad talked still alive hey hey still alive hey still alive walk slowly across young man room said ready remember anything day cept look look know see stare still alive still alive still alive still alive something wrong said course still alive said deserve question answer answer still alive still alive still alive still alive
Rolling in the Deep,"Adele
",fire starting heart reaching fever pitch bringing dark finally see crystal clear go ahead sell lay ship bare see leave every piece underestimate thing fire starting heart reaching fever pitch bringing dark scar love remind u keep thinking almost scar love leave breathless help feeling could gonna wish never met rolling deep tear gonna fall rolling deep heart inside gonna wish hand never met played tear gonna fall beat rolling deep baby story told heard one gonna make head burn think depth despair make home mine sure shared scar love never met remind u tear gonna fall keep thinking rolling deep almost gonna wish scar love never met leave breathless tear gonna fall help feeling rolling deep could gonna wish never met rolling deep tear gonna fall rolling deep heart inside gonna wish hand never met played tear gonna fall beat rolling deep could rolling deep heart inside hand played beating throw soul every open door whoa count blessing find look whoa turn sorrow treasured gold whoa pay back kind reap sown could tear gonna fall rolling deep could gonna wish never met tear gonna fall rolling deep could gonna wish never met rolling deep tear gonna fall rolling deep heart inside gonna wish hand never met played tear gonna fall beat rolling deep could gonna wish never met rolling deep tear gonna fall rolling deep heart inside gonna wish hand never met played played played played beat
Beds Are Burning,"Midnight Oil
",river broke bloodwood desert oak holden wreck boiling diesel steam degree time come say fair fair pay rent pay share time come fact fact belongs let give back dance earth turning sleep bed burning dance earth turning sleep bed burning time come say fair fair pay rent pay share four wheel scare cockatoo kintore east yuendemu western desert life breathes degree time come say fair fair pay rent pay share time come fact fact belongs let give back dance earth turning sleep bed burning dance earth turning sleep bed burning time come say fair fair pay rent pay share time come fact fact belongs gonna give back dance earth turning sleep bed burning
Creep,Radiohead,look eye like angel skin make cry float like feather beautiful world wish special fuckin special creep weirdo hell doin belong care hurt wanna control want perfect body want perfect soul want notice around fuckin special wish special creep weirdo hell doin belong running door run running run run run run run whatever make happy whatever want fuckin special wish special creep weirdo hell doin belong belong
London Calling,The Clash,london calling faraway town war declared battle come london calling underworld come cupboard boy girl london calling look u phony beatlemania bitten dust london calling see got swing except ring truncheon thing ice age coming sun zooming meltdown expected wheat growing thin engine stop running fear cause london drowning live river london calling imitation zone forget brother go alone london calling zombie death quit holding draw another breath london calling want shout talking saw nodding london calling see got high except one yellowy eye ice age coming sun zooming engine stop running wheat growing thin nuclear era fear cause london drowning live river ice age coming sun zooming engine stop running wheat growing thin nuclear era fear cause london drowning live river get london calling yes know said well true london calling top dial give smile never felt much alike alike alike alike
Back for Good,Take That,guess time give feel time got picture beside got lipstick mark still coffee cup got fist pure emotion got head shattered dream gotta leave gotta leave behind whatever said whatever mean want back good want back want back want back good whenever wrong tell song sing right understood want back want back want back good unaware underlined figured story good corner mind celebrated glory twist separation excelled free find little room inside whatever said whatever mean want back good want back want back want back good whenever wrong tell song sing right understood want back want back want back good together time forever fighting forever complete love never uncovered whatever said whatever mean want back good want back want back want back good whenever wrong tell song sing right understood want back want back want back good whatever said whatever mean want back good want back want back want back good whenever wrong tell song sing right understood want back want back want back good guess time came back good
Great Southern Land,Icehouse,standing limit endless ocean stranded like runaway lost sea city rainy day harbor watching grey cloud shadow bay looking everywhere cause find way remember anyone tell prisoner island hidden summer million year great southern land burned black look land tell story story bout journey ended long ago listen motion wind mountain maybe hear talking like gonna betray gonna forget gonna let take way great southern land great southern land walk alone like primitive man make work stick bone see hungry eye hungry home hear sound stranger voice see hungry eye hungry eye great southern land great southern land burned black black ground standing limit endless ocean stranded like runaway lost sea city rainy day harbor watching grey cloud shadow bay looking everywhere cause find way remember anyone tell prisoner island hidden summer million year great southern land sleeping sun walk alone ghost time burned black black ground make work rock sand hear sound stranger voice see hungry eye hungry eye great southern land great southern land walk alone like primitive man walk alone ghost time burned black burned black great southern land
Clocks,Coldplay,light go saved tide tried swim brought upon knee beg beg plead singin come thing un said shoot apple head trouble named tiger waiting tamed singin confusion never stop closing wall ticking clock gonna come back take home could stop know singin come upon sea cursed missed opportunity part cure part disease singin nothing else compare nothing else compare nothing else compare home home wanted go home home wanted go
I Will Survive,Gloria Gaynor,first afraid petrified kept thinking could never live without side spent many night thinking wrong grew strong learned get along back outer space walked find sad look upon face changed stupid lock made leave key known one second back bother go go walk door turn around cause welcome anymore one tried hurt goodbye think crumble think lay die survive long know love know stay alive got life live got love give survive survive hey hey took strength fall apart kept trying hard mend piece broken heart spent many night feeling sorry used cry hold head high see somebody new chained little person still love felt like dropping expect free well saving lovin someone loving go go walk door turn around cause welcome anymore one tried break goodbye think crumble think lay die survive long know love know stay alive got life live got love give survive survive go go walk door turn around cause welcome anymore one tried break goodbye think crumble think lay die survive long know love know stay alive got life live got love give survive survive survive
Killing Me Softly With His Song,Fugees,strumming pain finger singing life word killing softly song killing softly song telling whole life word killing softly song wyclef refugee camp l boogie praswell praswell haha lil base sittin bass refugee got girl l ah ah one time one time one time one time ayo l know got lyric heard sang good song heard style came see listen young boy stranger eye strumming pain finger one time one time singing life word two time two time killing softly song killing softly song telling whole life word killing softly song felt flushed fever embarrassed crowd felt found letter read one loud prayed would finish kept right strumming pain finger one time one time singing life word two time two time killing softly song killing softly song telling whole life word killing softly song yo l boog take bridge whoa woah oah ah ah ah uh uh whoa whoa ha ha ha ha ah ah ah ah strumming pain finger yes singing life singing life word killing softly song killing softly song telling whole life word whole life word killing softly song yo put hand together l boogie strumming pain refugee camp singing life know l boogie wyclef praswell said l boogie wyclef man lil base praswell jerry one time rock got warren warren outsider got fallon mulaney mulaney refugee camp refugee camp everybody got breakin point kid rat family nigga rat gotta prepared take whoever need
Every Breath You Take,The Police,every breath take every move make every bond break every step take watching every single day every word say every game play every night stay watching see belong poor heart ache every step take every move make every vow break every smile fake every claim stake watching since gone lost without trace dream night see face look around replace feel cold long embrace keep cry baby baby please see belong poor heart ache every step take every move make every vow break every smile fake every claim stake watching every move make every step take watching watching every breath take every move make every bond break every step take watching watching watching whoo hoo every game play every night stay watching watching watching watching every single day every word say every game play every night stay watching
Tears In Heaven,Eric Clapton,would know name saw heaven would saw heaven must strong carry cause know belong heaven would hold hand saw heaven would help stand saw heaven find way night day cause know stay heaven time bring time bend knee time break heart begging please begging please beyond door peace sure know tear heaven would know name saw heaven would saw heaven must strong carry cause know belong heaven
Girls on Film,"Duran Duran
",see walking hand hand across bridge midnight head turning light flashing bright walk right four line track camera rolling back back sense rhythm humming frenzy way spine girl film girl film girl film girl film lipstick cherry lens falling mile sharp blue water coming lie diving man coming air cause crowd love pulling dolly hair hair wonder ever got go girl film two minute later girl film girl film got picture girl film wider baby smile made million fuse pumping live heat twisting wire take one last glimpse night touching close holding bright holding tight give shudder whisper take til shooting star girl film lady girl film girl film two minute later girl film girl film see together girl film girl film see later girl film
The Real Thing,Russell Morris,come see real thing come see real thing come see come see real thing come see real thing come see meaning meaning really mean thing come see real thing come see real thing come see real thing oo mow mow mow oo mow mow mow oo mow mow mow oo mow mow oo mow mow mow trying hard understand really seeing trying hard understand really seeing meaning meaning really mean thing come see real thing come see real thing come see real thing oo mow mow mow oo mow mow mow oo mow mow mow oo mow mow oo mow mow mow mow seeing seeing trying hard understand really seeing trying hard understand really seeing meaning meaning really mean thing come see real thing come see real thing come see real thing oo mow mow mow oo mow mow mow oo mow mow mow oo mow mow oo mow mow mow mow seeing seeing oo mow mow mow oo mow mow mow oo mow mow mow oo mow mow oo mow mow mow mow
MMMBop,Hanson,many relationship life one two last go pain strife turn back gone fast gone fast hold one really care end one get old start losing hair tell still care tell still care care mmmbop ba duba dop ba du bop ba duba dop ba du bop ba duba dop ba du mmmbop ba duba dop ba du bop ba du dop ba du bop ba du dop ba du said mmmbop gone plant seed plant flower plant rose plant one keep planting find one grows secret one know secret one know one know mmmbop ba duba dop ba du bop ba duba dop ba du bop ba duba dop ba du mmmbop ba duba dop ba du bop ba du dop ba du bop ba du dop tell cause know tell say know tell flower going grow cause know tell going daisy rose say know tell flower going grow cause know tell say know say know know know mmmbop ba duba dop
Everlong,Foo Fighters,hello waited everlong tonight throw red head sang come waste away slow wanted head head sang wonder sing along everything could ever real forever anything could ever good thing ever ask got promise stop say sang breathe breathe hold know always head head sang wonder sing along everything could ever feel real forever anything could ever good thing ever ask got promise stop say sang wonder everything could ever feel real forever anything could ever good thing ever ask got promise stop say
Wake Me Up Before You Go-Go,"Wham
",jitterbug jitterbug put boom boom heart send soul sky high lovin start jitterbug brain go bang bang bang til foot something bugging something right best friend told last night left sleeping bed dreaming instead wake go go leave hanging like yo yo wake go go wanna miss hit high wake go go cause planning going solo wake go go ah take dancing tonight wanna hit high take grey sky outta way make sun shine brighter doris day turned bright spark flame beat per minute never cause lady fool make crazy act cruel come baby let fight go dancing everything alright wake go go leave hanging like yo yo wake go go wanna miss hit high wake go go cause planning going solo wake go go ah take dancing tonight wanna hit high baby jitterbug jitterbug cuddle baby move tight go dancing tomorrow night cold warm bed dance stay home instead wake go go leave hanging like yo yo wake go go wanna miss hit high wake go go cause planning going solo wake go go ah take dancing tonight wake go go dare leave hanging like yo yo take dancing boom boom boom boom boom boom boom boom take dancing tonight aah
Rehab ,Amy Winehouse,tried make go rehab said yes black come back know know know got time daddy think fine tried make go rehab go go go rather home ray got seventy day cause nothing nothing teach learn mr hathaway get lot class know come shot glass tried make go rehab said yes black come back know know know got time daddy think fine tried make go rehab go go go man said think said got idea gonna gonna lose baby always keep bottle near said think depressed baby rest tried make go rehab said yes black come back know know know ever want drink need friend gonna spend ten week everyone think mend pride til tear dried tried make go rehab said yes black come back know know know got time daddy think fine try make go rehab go go go
